,FBXO22,AURKC,AKAP7,CCDC158,ZBTB39,CNV_Xq11.2 ,CNV_17q24.3,CNV_7q36.3 ,CNV_3p21.32 ,CNV_14q31.1 ,CNV_3q26.32,CNV_8p23.2  ,CNV_3p,CNV_1q43    ,CNV_Xq23    ,CNV_4q34.3  ,CNV_8q24.22,CNV_1q24.1 ,CNV_2q37.3  ,CNV_9p21.3  ,CNV_13q13.3 ,CNV_6q26    ,CNV_Xp22.2 ,CNV_1q32.1 ,CNV_3p25.3  ,CNV_5q35.1 ,CNV_1p36.23 ,CNV_1p31.1  ,CNV_10p14  ,CNV_4q32.1 ,CNV_10q23.31,CNV_9p23    ,CNV_3p12.2  ,CNV_3q11.2  ,CNV_Xp11.4 
TCGA-CJ-5680,651.58,7.88,218.79,2.36,43.63,-0.10533,0.00055459,-0.0015243,-0.68551,-0.68688,0.0054852,-0.0012473,0.0,0.0063871,-0.10533,0.0019418,0.001803,0.0048463,0.00014575,-0.6772,0.00083195,0.023286,-0.10533,0.0063871,-0.6935,0.0029133,-0.0040984,0.0,-0.0048507,0.0019418,-0.0026322,-0.6772,0.0054852,0.0054852,-0.10533
TCGA-CJ-5672,638.15,18.97,191.67,9.48,39.22,0.010424,0.0,-0.051181,-0.57358,-0.51177,0.0012247,-0.57568,-0.574,0.0091924,0.015028,0.0030014,0.017544,0.001803,0.49355,-0.0016629,-0.0049844,0.0055529,0.010424,0.001803,-0.57358,0.54431,-0.0034069,-0.0034069,-0.0056757,0.0030014,-0.0056757,-0.0016629,-0.56326,0.0058309,0.010424
TCGA-CZ-4863,842.36,27.25,249.73,86.43,61.68,-0.025237,0.013743,-0.0077763,-0.10621,-0.32524,-0.10621,-0.06869,-0.106,0.0037182,-0.027367,-0.0016911,-0.06869,-0.053687,0.010053,0.016257,-0.10213,0.0,-0.025237,0.0037182,-0.10621,0.12576,-0.053687,-0.053687,-0.0040444,-0.0016911,-0.0040444,0.016257,-0.10621,-0.10621,-0.025237
TCGA-CZ-5982,669.92,9.78,107.38,3.63,73.54,-0.064555,-0.024161,0.012886,-0.49176,-0.0028183,0.0043933,0.0,-0.492,0.037169,-0.064555,0.010934,0.0053661,0.00030049,0.0045322,-0.0062761,-0.020185,-0.48116,-0.055811,0.02902,-0.49176,0.0062002,0.00030049,0.00030049,-0.26135,0.010934,-0.26135,-0.0062761,-0.49176,0.0043933,-0.064555
TCGA-CZ-5452,587.13,17.25,163.28,1.06,26.47,-0.026059,-0.0044312,-0.0048461,-0.26775,-0.31048,-0.22133,0.0,-0.268,0.13865,-0.019863,0.0076392,0.0,0.13865,0.0087528,0.0084743,0.0012481,-0.31287,-0.026059,0.13865,-0.26775,0.1431,0.13865,0.13865,-0.0071958,0.0076392,-0.0071958,0.0084743,-0.26775,-0.26775,-0.026059
TCGA-CJ-5677,318.57,19.68,228.13,1.5,32.36,-0.1025,0.016845,0.51978,-0.56077,-0.54985,0.015447,-0.25817,-0.561,0.007321,-0.1025,-0.12252,0.25261,0.007321,-0.007472,-1.1065,-0.14592,0.00597,-0.089903,0.007321,-0.56077,-0.005013,0.03863,0.007321,0.0044411,-0.12252,0.0044411,-0.55387,-0.56077,0.015447,-0.1025
TCGA-B0-5699,397.93,22.26,224.97,10.39,49.91,-0.036538,-0.014228,-0.033051,-0.72187,-0.0020784,0.020203,0.0,-0.712,-0.0033243,-0.036538,-0.71328,0.0,-0.0033243,-0.0086165,-0.00091716,-0.0011285,0.01433,-0.036538,-0.0033243,-0.72187,0.0062481,-0.0033243,-0.0033243,-0.0123,0.049398,-0.0123,-0.00091716,-0.71158,-0.71158,-0.036538
TCGA-CZ-4864,575.03,18.43,320.8,32.36,55.89,-0.051403,0.024408,-0.012576,-0.58647,-0.5853,-0.58748,-0.011335,-0.586,0.0069435,-0.066096,-0.0045695,-0.011335,0.0069435,0.0093098,0.0020805,-0.010784,-0.59944,-0.045364,0.0069435,-0.58647,0.56632,-0.56495,0.0069435,-0.0012473,-0.0045695,-0.0012473,0.0020805,-0.58647,-0.58647,-0.047063
TCGA-CW-5585,500.46,19.25,92.7,72.01,40.07,-0.017194,-0.031632,0.015028,-0.78496,-0.0089906,0.023847,0.0,0.0,-0.78872,-0.017194,0.029044,0.0,0.0034687,0.011958,-0.013677,0.0079175,-0.7896,-0.017194,0.008892,-0.81639,0.78697,-0.01485,-0.01485,-0.007472,0.029044,-0.007472,-0.013677,0.023847,0.023847,-0.017194
TCGA-B0-5697,660.68,30.12,226.54,6.01,45.85,0.00083195,-0.0098185,-0.0018014,-0.40904,-0.4034,0.0043493,0.0,-0.409,0.0063033,0.00083195,0.0037465,0.0,0.0069435,-0.0069195,-0.0020784,0.0023581,-0.0012473,0.00083195,0.0,-0.40904,0.40289,-0.0056757,0.002787,-0.01354,0.0037465,-0.0080244,-0.0020784,-0.40948,0.011261,0.00083195
